,DecisionTree,SVC,LogisticRegression,KNeighboors,MultipleLayerPerceptron,NaiveBayes,RandomForest,AdaBoost
abalone训练集精度,0.27A1O20.02,0.28A1O20.01,0.27A1O20.02,0.27A1O20.01,0.28A1O20.01,0.24A1O20.02,0.28A1O20.02,0.28A1O20.02
abalone测试集精度,0.27,0.25,0.26,0.24,0.26,0.21,0.24,0.26
adult训练集精度,0.81A1O20.01,0.85A1O20.01,0.82A1O20.01,0.83A1O20.01,0.85A1O20.01,0.8A1O20.01,0.85A1O20.0,0.83A1O20.01
adult测试集精度,0.81,0.85,0.83,0.83,0.85,0.8,0.85,0.83
arcene训练集精度,0.7A1O20.11,0.75A1O20.11,0.76A1O20.09,0.81A1O20.1,0.76A1O20.1,0.55A1O20.12,0.76A1O20.1,0.7A1O20.11
arcene测试集精度,0.71,0.76,0.84,0.8,0.75,0.55,0.78,0.7
australia训练集精度,0.87A1O20.02,0.89A1O20.03,0.87A1O20.03,0.88A1O20.03,0.89A1O20.02,0.85A1O20.01,0.9A1O20.03,0.89A1O20.02
australia测试集精度,0.81,0.82,0.86,0.85,0.79,0.88,0.85,0.84
banknote训练集精度,0.99A1O20.0,1.0A1O20.0,0.99A1O20.01,1.0A1O20.0,1.0A1O20.0,0.84A1O20.03,0.99A1O20.0,1.0A1O20.0
banknote测试集精度,1.0,1.0,0.99,1.0,1.0,0.85,0.99,1.0
bioresponse训练集精度,0.72A1O20.03,0.77A1O20.03,0.73A1O20.03,0.75A1O20.02,0.76A1O20.03,0.61A1O20.02,0.76A1O20.03,0.71A1O20.03
bioresponse测试集精度,0.75,0.78,0.73,0.74,0.77,0.57,0.8,0.72
breast训练集精度,0.97A1O20.04,0.97A1O20.03,0.96A1O20.03,0.98A1O20.02,0.97A1O20.03,0.95A1O20.04,0.97A1O20.03,0.97A1O20.03
breast测试集精度,0.97,0.97,0.95,0.95,0.95,0.97,0.97,0.92
churn训练集精度,0.93A1O20.0,0.92A1O20.01,0.86A1O20.01,0.89A1O20.0,0.92A1O20.01,0.87A1O20.01,0.96A1O20.01,0.96A1O20.01
churn测试集精度,0.93,0.91,0.87,0.9,0.93,0.87,0.96,0.96
credit训练集精度,0.73A1O20.01,0.82A1O20.01,0.81A1O20.0,0.79A1O20.01,0.81A1O20.0,0.67A1O20.03,0.81A1O20.0,0.79A1O20.01
credit测试集精度,0.73,0.81,0.8,0.79,0.81,0.66,0.8,0.77
dermatology训练集精度,0.95A1O20.03,0.97A1O20.02,0.97A1O20.02,0.97A1O20.02,0.97A1O20.01,0.87A1O20.02,0.98A1O20.01,0.97A1O20.02
dermatology测试集精度,0.93,0.98,0.98,0.96,0.98,0.87,0.98,0.97
diabetes训练集精度,0.72A1O20.01,0.76A1O20.03,0.76A1O20.02,0.77A1O20.01,0.75A1O20.03,0.75A1O20.03,0.77A1O20.0,0.77A1O20.02
diabetes测试集精度,0.77,0.78,0.81,0.76,0.72,0.76,0.78,0.78
digit训练集精度,0.85A1O20.01,0.96A1O20.0,0.91A1O20.0,0.94A1O20.0,0.97A1O20.0,0.53A1O20.01,0.94A1O20.01,0.85A1O20.01
digit测试集精度,0.85,0.96,0.91,0.94,0.97,0.53,0.93,0.85
glass训练集精度,0.67A1O20.08,0.7A1O20.07,0.65A1O20.05,0.71A1O20.07,0.71A1O20.06,0.4A1O20.09,0.79A1O20.04,0.77A1O20.06
glass测试集精度,0.58,0.69,0.64,0.7,0.69,0.48,0.78,0.75
heart训练集精度,0.79A1O20.06,0.83A1O20.05,0.83A1O20.05,0.84A1O20.05,0.8A1O20.05,0.82A1O20.05,0.86A1O20.05,0.86A1O20.05
heart测试集精度,0.75,0.83,0.82,0.82,0.79,0.81,0.83,0.82
internetad训练集精度,0.96A1O20.01,0.96A1O20.01,0.96A1O20.01,0.95A1O20.02,0.97A1O20.02,0.79A1O20.02,0.97A1O20.02,0.96A1O20.02
internetad测试集精度,0.96,0.97,0.96,0.95,0.96,0.78,0.98,0.97
iris训练集精度,0.94A1O20.04,0.97A1O20.04,0.96A1O20.04,0.97A1O20.02,0.96A1O20.03,0.95A1O20.04,0.97A1O20.03,0.97A1O20.03
iris测试集精度,0.94,0.95,0.96,0.94,0.95,0.96,0.94,0.93
micromass训练集精度,0.79A1O20.05,0.51A1O20.05,0.89A1O20.03,0.59A1O20.07,0.87A1O20.05,0.71A1O20.06,0.8A1O20.08,0.78A1O20.06
micromass测试集精度,0.76,0.42,0.8,0.58,0.8,0.7,0.78,0.79
mushroom训练集精度,1.0A1O20.0,1.0A1O20.0,0.97A1O20.0,1.0A1O20.0,1.0A1O20.0,0.92A1O20.0,1.0A1O20.0,1.0A1O20.0
mushroom测试集精度,1.0,1.0,0.97,1.0,1.0,0.93,1.0,1.0
nursery训练集精度,0.99A1O20.0,1.0A1O20.0,0.76A1O20.01,0.94A1O20.0,1.0A1O20.0,0.64A1O20.01,0.99A1O20.0,0.99A1O20.0
nursery测试集精度,0.99,1.0,0.77,0.96,1.0,0.64,1.0,0.99
splice训练集精度,0.88A1O20.02,0.84A1O20.0,0.81A1O20.01,0.79A1O20.02,0.87A1O20.01,0.89A1O20.04,0.95A1O20.01,0.96A1O20.01
splice测试集精度,0.89,0.85,0.83,0.82,0.87,0.92,0.96,0.96
thyroid训练集精度,0.69A1O20.02,0.71A1O20.02,0.71A1O20.02,0.69A1O20.02,0.66A1O20.02,0.18A1O20.01,0.72A1O20.02,0.71A1O20.02
thyroid测试集精度,0.68,0.71,0.71,0.71,0.69,0.18,0.69,0.71
