,DecisionTree,SVC,LogisticRegression,KNeighboors,MultipleLayerPerceptron,NaiveBayes,RandomForest,AdaBoost
abalone,0.026,7.856,0.806,0.065,18.683,0.047,0.408,0.43
adult,1.1,101.69,0.793,20.056,81.654,0.412,1.801,32.94
arcene,1.281,1.34,1.616,0.551,6.754,0.381,0.464,1.285
australia,0.014,0.131,0.018,0.022,3.541,0.018,0.225,0.048
banknote,0.013,0.039,0.026,0.016,1.52,0.015,0.168,0.347
bioresponse,6.241,54.459,31.002,14.271,71.477,1.041,1.239,4.347
breast,0.011,0.013,0.032,0.015,0.615,0.017,0.031,0.152
churn,0.036,6.312,0.032,0.406,15.832,0.023,2.138,1.533
credit,3.607,82.099,0.789,14.93,53.468,0.151,2.324,18.396
dermatology,0.017,0.067,0.079,0.019,1.059,0.019,0.226,0.491
diabetes,0.011,0.08,0.016,0.019,3.471,0.013,0.321,0.054
digit,38.497,989.779,1482.804,700.641,123.627,6.856,11.553,37.508
glass,0.012,0.033,0.117,0.014,1.605,0.014,0.216,1.432
heart,0.012,0.026,0.017,0.014,1.528,0.013,0.172,0.137
internetad,5.939,19.339,13.42,7.131,40.721,0.779,1.445,18.124
iris,0.011,0.013,0.033,0.014,0.688,0.013,0.045,0.086
micromass,0.335,2.254,11.985,0.358,6.57,0.17,0.218,0.345
mushroom,0.048,1.983,0.112,0.58,3.302,0.046,0.083,0.484
nursery,0.043,23.597,0.132,0.217,29.453,0.054,0.789,0.05
splice,0.066,3.449,0.083,0.361,3.939,0.044,1.124,16.439
thyroid,0.025,2.837,0.128,0.142,12.518,0.027,0.549,0.833
vehicle,0.016,0.191,0.135,0.023,5.698,0.018,0.212,1.8
wine,0.04,1.311,0.088,0.042,9.473,0.017,0.253,0.059
